epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,26784.3,0.408,0.44837,0.16189,0.82341,0.66187,0.71984,0.47461,0.43139,0.56881,0.30437,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,27639.8,0.40196,0.45668,0.16473,0.82451,0.64978,0.71729,0.47056,0.43171,0.56807,0.29882,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,28494.2,0.40722,0.44779,0.16145,0.83153,0.65579,0.71757,0.46723,0.43533,0.56617,0.31615,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,29340.1,0.40623,0.4409,0.15776,0.82135,0.67337,0.73263,0.4764,0.43689,0.55379,0.30544,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,30190.6,0.39904,0.4351,0.15777,0.81847,0.67835,0.73032,0.47705,0.42494,0.5593,0.29969,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,31035.3,0.38367,0.43324,0.15248,0.81513,0.67701,0.72713,0.47471,0.42915,0.57106,0.3014,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,31882.7,0.39136,0.43436,0.15568,0.80864,0.67604,0.72913,0.47535,0.4328,0.55926,0.31068,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,32733.6,0.38467,0.43048,0.14797,0.83183,0.679,0.73141,0.48037,0.43127,0.56228,0.31293,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,33586,0.37325,0.42937,0.14785,0.84045,0.65695,0.72889,0.48294,0.42994,0.56227,0.30365,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,34435.6,0.36653,0.42286,0.14563,0.82961,0.67722,0.73114,0.48281,0.42603,0.58981,0.30492,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,35284.6,0.34457,0.41958,0.14264,0.83404,0.67461,0.73167,0.48646,0.42245,0.56488,0.2996,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,36131.2,0.35221,0.41642,0.14007,0.81769,0.68725,0.73378,0.48454,0.42638,0.56975,0.30612,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,36977.9,0.33887,0.40894,0.13697,0.82463,0.69105,0.73784,0.48979,0.41966,0.5644,0.29909,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,37830.2,0.34187,0.40813,0.1368,0.83848,0.67807,0.73587,0.48964,0.42009,0.57389,0.29619,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,38683.6,0.33305,0.39792,0.13426,0.82637,0.68103,0.73384,0.48802,0.42309,0.57479,0.30117,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,39536.5,0.32113,0.39329,0.132,0.82283,0.68346,0.73132,0.48585,0.42489,0.57662,0.30137,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,40386.4,0.32769,0.39396,0.13275,0.82501,0.68492,0.73155,0.48798,0.42069,0.57591,0.29809,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,41245.8,0.31845,0.38958,0.12923,0.84025,0.67924,0.73442,0.48979,0.42331,0.5689,0.30359,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,42122.3,0.30266,0.38248,0.12511,0.84907,0.67972,0.73725,0.49199,0.41989,0.57014,0.29659,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,43011.2,0.26803,0.32115,0.10211,0.8463,0.68179,0.74076,0.49485,0.41727,0.57221,0.29282,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
